Ticker,변동성,평균 주간 수익률
A347860,0,
A350340,,
A351320,0.012645804,0.002457002
A352700,,
A352910,,
A352940,0.100101353,0.512295082
A35320K,0.116235933,-0.080882353
A354200,0.101351972,0.348979592
A354500,0.089866915,0.012351544
A357580,,
A360200,0.025218751,0.010901883
A360750,0.025502515,0.0085
A361670,,
A363280,0.08187464,0.027310924
A364990,0.057749775,-0.060098522
A367360,,
A367380,0.021025543,0.066081569
A367460,,
A368680,0.045547746,0.02592955
A371130,0.057137414,0.033317001
A371160,0.006413419,-0.000979432
A371460,0.023912306,0.104135526
A375500,,
A375770,,
A376430,,
A377400,,
A377630,,
A38380K,,
A387270,,
A390400,,
A000050,0.223708215,-0.000477255
A000087,0.117619584,0.000656973
A000105,0.299201658,0.00435339
A000140,0.278506249,0.001151403
A000145,0.329237621,0.003586845
A000150,0.241506111,0.001286856
A000210,0.105973336,0.002020128
A000220,0.182608108,0.002622295
A000230,0.382283911,-0.00122405
A000250,0.554687876,0.011453864
A000390,0.31602043,0.003197784
A000400,0.226597529,-0.00042795
A000430,0.156259459,8.10165E-05
A000545,0.381468901,0.006120458
A000547,0.231830766,0.005657358
A000640,0.272157819,-0.00079034
A000720,0.218915826,0.002824469
A000815,0.121867804,-0.000439644
A000970,0.121960395,0.000150037
A001045,0.274594163,-0.0014888
A001060,0.225414414,0.001576371
A001140,0.581077483,0.007501049
A001210,0.448024003,-0.001716665
A001275,0.098144835,0.001221491
A001340,0.196365801,0.004153897
A001430,0.343050203,-0.002209542
A001510,0.258130623,0.000407093
A001520,0.337381086,-0.001196991
A001527,0.199521587,0.002547989
A001620,0.51151717,-0.002664356
A001720,0.089902497,0.000491491
A001740,0.152159857,0.000598989
A001745,0.42449484,0.008507081
A001750,0.096415055,0.001513298
A001755,0.319269136,0.004595441
A002005,,
A002025,0.355725581,-0.000424211
A002250,,
A002350,0.27997334,-0.001639883
A002355,0.284801689,-0.001892657
A002390,0.186295992,0.001969783
A002410,0.4374001,0.005672789
A002450,0.235367382,-0.001550665
A002600,0.252774961,0.001426544
A002680,0.153120594,0.003576637
A002760,0.376916697,0.008547757
A002780,0.141554053,0.0018681
A002787,0.244990136,0.004549919
A002800,0.209312167,-0.207885305
A002870,0.438369822,0.008716795
A002960,0.196167243,-0.001959807
A003080,0.160368671,-8.72025E-05
A003100,0.134072164,0.002031731
A003230,0.394869967,0.007318405
A003240,0.247612883,-3.63871E-05
A003350,0.207288943,0.003558298
A003470,0.169239301,0.00117698
A003475,0.107873732,0.00098619
A003495,0.477951598,0.013123155
A003520,0.32511807,0.009071791
A003610,0.113237032,-0.00038488
A003720,0.311054629,0.004079192
A003920,0.282981206,-0.003100456
A003960,0.216863964,0.001112425
A004130,,
A004150,0.275855491,-0.001619108
A004270,0.300496086,0.006992452
A004360,0.17315457,-0.00079071
A004370,0.167130628,-0.000862972
A004415,0.469620311,0.013933531
A004565,0.276818293,0.008203199
A004700,0.144724547,0.003206017
A004710,0.38788281,-0.001001953
A004770,0.292692561,0.003236107
A004920,0.31948872,-0.000767833
A005030,0.637562019,0.00162196
A005070,0.575979087,0.012699156
A005160,0.28011199,0.001054707
A005190,,
A005300,0.19862701,-0.00231912
A005420,0.598113868,0.007543233
A005430,0.149866792,0.002486609
A005440,0.264851343,-0.002905254
A005450,,
A005500,0.225683333,0.00126788
A005750,0.46003884,-0.000669867
A005810,0.222096225,-0.000698142
A005860,0.167763629,0.002501365
A005950,0.24723354,0.003544062
A005960,0.247075133,0.000378064
A005965,0.268347838,0.002665999
A006220,0.309760124,-0.003585232
A006340,0.278767319,-0.000553854
A006360,0.230239583,0.004014609
A006405,0.577272566,0.007511214
A006800,0.153588244,0.00177403
A006880,0.288792749,-0.002141913
A006910,0.589797762,0.000642953
A006980,0.139420973,0.00146177
A007690,0.152954501,0.000534193
A008110,0.129418748,0.000187381
A008260,0.237958398,0.001166018
A008350,0.649122136,0.009291586
A008355,0.813708028,0.013531634
A008420,0.154471239,0.003140584
A008500,0.280591526,-0.000334706
A008700,0.359937504,0.007183869
A008730,0.146062948,0.003480458
A008870,0.197801928,0.00298774
A009140,0.192630325,0.002696171
A009190,0.584866404,0.007026775
A009200,0.150011831,0.000556992
A009240,0.453498727,-0.001508727
A009415,0.856427588,0.013981666
A009520,0.421321934,0.005855121
A009540,0.190333394,0.0028984
A009730,0.447987501,-0.001094861
A009770,0.168700712,-0.000274968
A009835,0.828938403,0.011588593
A010040,0.328009386,0.004481122
A010120,0.19103164,0.002666996
A010145,1.347267204,0.018591688
A010400,0.229017868,-0.211195929
A010420,0.198633257,0.002809944
A010470,0.182947552,-0.000845693
A010600,0.545907707,0.005348375
A010780,0.220598068,0.002433533
A010820,0.319769183,-0.000392882
A010955,0.338391602,9.90721E-05
A011320,0.352404124,0.007643148
A011390,0.588149619,0.012954495
A011420,0.292636426,-0.000520899
A011500,0.225409942,0.00474436
A011790,0.366293086,0.005665739
A011930,0.381279263,0.005298432
A012205,0.430134015,0.010929027
A012320,0.381587682,-0.002823082
A012510,0.533165501,0.008199717
A012700,0.175976453,-0.000296119
A012790,0.592985301,0.009411904
A012800,0.132474519,0.003920745
A012860,0.305339317,0.001860267
A013890,0.620585052,0.032333759
A014160,0.172251718,0.003411916
A014190,0.231643653,0.000832018
A014440,0.195015821,4.74836E-05
A014570,0.241006244,0.006548841
A014820,0.38743601,-0.002029118
A014825,0.13668767,0.002292472
A014910,0.740206849,0.004829075
A014990,0.298183311,0.00301733
A015230,0.165603947,0.001388642
A015360,0.071972455,0.000243662
